iter	Passed	Remaining
648	3451	1866
649	3456	1861
650	3461	1855
651	3467	1850
652	3473	1845
653	3479	1840
654	3486	1836
655	3491	1831
656	3497	1825
657	3502	1820
658	3507	1814
659	3513	1809
660	3518	1804
661	3524	1799
662	3529	1794
663	3535	1788
664	3540	1783
665	3546	1778
666	3552	1773
667	3558	1768
668	3565	1763
669	3571	1758
670	3576	1753
671	3583	1748
672	3588	1743
673	3593	1738
674	3598	1732
675	3604	1727
676	3609	1721
677	3614	1716
678	3619	1711
679	3624	1705
680	3630	1700
681	3635	1695
682	3640	1689
683	3647	1685
684	3652	1679
685	3656	1673
686	3661	1668
687	3667	1662
688	3672	1657
689	3678	1652
690	3683	1647
691	3689	1642
692	3696	1637
693	3701	1632
694	3706	1626
695	3712	1621
696	3718	1616
697	3723	1611
698	3729	1606
699	3735	1600
700	3740	1595
701	3747	1590
702	3752	1585
703	3758	1580
704	3766	1576
705	3772	1570
706	3778	1565
707	3784	1560
708	3790	1555
709	3797	1550
710	3802	1545
711	3808	1540
712	3814	1535
713	3819	1529
714	3825	1524
715	3830	1519
716	3835	1513
717	3840	1508
718	3846	1503
719	3851	1497
720	3855	1492
721	3861	1486
722	3866	1481
723	3871	1475
724	3876	1470
725	3881	1465
726	3886	1459
727	3891	1454
728	3896	1448
729	3901	1443
730	3906	1437
731	3912	1432
732	3917	1426
733	3922	1421
734	3927	1416
735	3933	1410
736	3937	1405
737	3944	1400
738	3949	1394
739	3954	1389
740	3960	1384
741	3965	1378
742	3970	1373
743	3975	1367
744	3980	1362
745	3985	1357
746	3991	1351
747	3996	1346
748	4000	1340
749	4005	1335
750	4010	1329
751	4015	1324
752	4021	1319
753	4026	1313
754	4031	1308
755	4035	1302
756	4041	1297
757	4046	1291
758	4050	1286
759	4055	1280
760	4060	1275
761	4065	1269
762	4071	1264
763	4076	1259
764	4081	1253
765	4086	1248
766	4092	1243
767	4100	1238
768	4106	1233
769	4113	1228
770	4118	1223
771	4124	1218
772	4131	1213
773	4136	1207
774	4142	1202
775	4148	1197
776	4154	1192
777	4160	1187
778	4165	1181
779	4171	1176
780	4177	1171
781	4183	1166
782	4189	1161
783	4195	1155
784	4200	1150
785	4205	1145
786	4211	1139
787	4216	1134
788	4221	1129
789	4227	1123
790	4232	1118
791	4237	1112
792	4243	1107
793	4248	1102
794	4254	1096
795	4259	1091
796	4265	1086
797	4271	1081
798	4276	1075
799	4282	1070
800	4289	1065
801	4294	1060
802	4300	1055
803	4306	1049
804	4312	1044
805	4317	1039
806	4323	1034
807	4329	1028
808	4335	1023
809	4341	1018
810	4346	1012
811	4351	1007
812	4356	1002
813	4430	1012
814	4446	1009
815	4453	1004
816	4461	999
817	4469	994
818	4474	988
819	4480	983
820	4486	978
821	4492	972
822	4497	967
823	4506	962
824	4512	957
825	4519	952
826	4525	946
827	4532	941
828	4541	936
829	4548	931
830	4554	926
831	4560	920
832	4567	915
833	4572	910
834	4577	904
835	4582	898
836	4587	893
837	4593	887
838	4599	882
839	4604	877
840	4609	871
841	4615	866
842	4620	860
843	4625	855
844	4631	849
845	4637	844
846	4642	838
847	4649	833
848	4654	827
849	4660	822
850	4666	817
851	4671	811
852	4677	806
853	4684	800
854	4689	795
855	4694	789
856	4702	784
857	4709	779
858	4716	774
859	4722	768
860	4728	763
861	4734	758
862	4740	752
863	4747	747
864	4753	741
865	4759	736
866	4766	731
867	4772	725
868	4779	720
869	4784	714
870	4789	709
871	4794	703
872	4799	698
873	4804	692
874	4809	687
875	4814	681
876	4819	675
877	4824	670
878	4829	664
879	4833	659
880	4839	653
881	4844	648
882	4849	642
883	4854	637
884	4859	631
885	4864	625
886	4869	620
887	4874	614
888	4879	609
889	4885	603
890	4890	598
891	4896	592
